Date,Nippon India Large Cap,HDFC Flexi Cap,Nifty 50 TRI,NIfty 500 TRI
1/1/18,34.6,675.4,14252.0,13813.8
1/2/18,34.5,672.0,14261.1,13789.4
1/3/18,34.6,675.0,14262.5,13820.9
1/4/18,35.0,683.6,14346.6,13918.1
1/5/18,35.2,685.6,14420.4,14017.2
1/6/18,35.2,685.6,14420.4,14017.2
1/7/18,35.2,685.6,14420.4,14017.2
1/8/18,35.4,690.2,14508.8,14113.6
1/9/18,35.3,689.4,14527.2,14115.8
1/10/18,35.2,688.9,14520.6,14100.9
1/11/18,35.3,690.5,14546.5,14129.8
1/12/18,35.3,692.2,14587.5,14151.6
1/13/18,35.3,692.2,14587.5,14151.6
1/14/18,35.3,692.2,14587.5,14151.6
1/15/18,35.4,695.2,14669.9,14202.3
1/16/18,35.3,689.8,14613.8,14074.5
1/17/18,35.7,700.1,14734.1,14182.9
1/18/18,35.6,694.4,14774.7,14125.8
1/19/18,35.9,701.1,14880.8,14237.5
1/20/18,35.9,701.1,14880.8,14237.5
1/21/18,35.9,701.1,14880.8,14237.5
1/22/18,36.0,704.5,14979.7,14332.4
1/23/18,36.4,715.6,15140.2,14464.0
1/24/18,36.4,715.6,15143.3,14430.0
1/25/18,36.2,709.2,15121.0,14365.8
1/26/18,36.2,709.2,15121.0,14365.8
1/27/18,36.2,709.2,15121.0,14365.8
1/28/18,36.2,709.2,15121.0,14365.8
1/29/18,36.1,706.4,15204.4,14380.0
1/30/18,35.9,704.0,15095.4,14268.9
1/31/18,35.7,699.6,15065.8,14203.1
2/1/18,35.7,695.8,15052.7,14188.3
2/2/18,34.8,675.9,14702.5,13782.4
2/3/18,34.8,675.9,14702.5,13782.4
2/4/18,34.8,675.9,14702.5,13782.4
2/5/18,34.7,670.2,14574.0,13686.6
2/6/18,34.1,659.3,14344.0,13461.6
2/7/18,34.1,660.6,14317.6,13486.6
2/8/18,34.7,670.9,14463.2,13662.7
2/9/18,34.4,665.8,14296.5,13558.0
2/10/18,34.4,665.8,14296.5,13558.0
2/11/18,34.4,665.8,14296.5,13558.0
2/12/18,34.6,672.1,14412.5,13700.7
2/13/18,34.6,672.1,14412.5,13700.7
2/14/18,34.4,666.1,14359.3,13668.9
2/15/18,34.4,664.3,14422.8,13668.4
2/16/18,34.1,656.2,14295.4,13540.5
2/17/18,34.1,656.2,14295.4,13540.5
2/18/18,34.1,656.2,14295.4,13540.5
2/19/18,33.7,648.6,14194.3,13429.6
2/20/18,33.6,647.9,14169.8,13417.2
2/21/18,33.7,649.6,14220.5,13442.3
2/22/18,33.6,647.4,14204.2,13402.1
2/23/18,34.0,655.5,14352.4,13567.6
2/24/18,34.0,655.5,14352.4,13567.6
2/25/18,34.0,655.5,14352.4,13567.6
2/26/18,34.3,659.7,14477.6,13686.8
2/27/18,34.2,654.8,14438.9,13642.2
2/28/18,34.0,653.6,14358.7,13585.5
3/1/18,33.9,646.5,14311.5,13531.8
3/2/18,33.9,646.5,14311.5,13531.8
3/3/18,33.9,646.5,14311.5,13531.8
3/4/18,33.9,646.5,14311.5,13531.8
3/5/18,33.5,640.5,14175.3,13400.9
3/6/18,33.2,630.7,14025.3,13260.1
3/7/18,32.8,619.9,13895.3,13109.1
3/8/18,33.1,628.0,14016.3,13202.8
3/9/18,32.9,624.7,13994.7,13181.8
3/10/18,32.9,624.7,13994.7,13181.8
3/11/18,32.9,624.7,13994.7,13181.8
3/12/18,33.4,631.9,14260.9,13380.3
3/13/18,33.6,635.9,14270.6,13434.8
3/14/18,33.5,637.5,14248.8,13425.5
3/15/18,33.4,634.3,14179.4,13399.6
3/16/18,32.9,627.2,13961.1,13214.5
3/17/18,32.9,627.2,13961.1,13214.5
3/18/18,32.9,627.2,13961.1,13214.5
3/19/18,32.5,619.0,13823.0,13052.8
3/20/18,32.6,620.4,13878.2,13100.2
3/21/18,32.6,621.0,13920.5,13142.3
3/22/18,32.3,615.6,13867.0,13077.5
3/23/18,31.9,605.9,13707.0,12926.3
3/24/18,31.9,605.9,13707.0,12926.3
3/25/18,31.9,605.9,13707.0,12926.3
3/26/18,32.4,617.6,13888.8,13093.2
3/27/18,32.7,623.5,13962.2,13187.9
3/28/18,32.5,616.4,13865.6,13091.0
3/29/18,32.5,616.4,13865.6,13091.0
3/30/18,32.5,616.4,13865.6,13091.0
3/31/18,32.5,616.4,13865.6,13091.0
4/1/18,32.5,616.4,13865.6,13091.0
4/2/18,32.8,620.1,14000.1,13254.7
4/3/18,33.1,626.8,14045.5,13330.0
4/4/18,32.7,618.4,13885.7,13184.3
4/5/18,33.3,632.7,14155.5,13435.2
4/6/18,33.4,635.0,14164.3,13473.3
4/7/18,33.4,635.0,14164.3,13473.3
4/8/18,33.4,635.0,14164.3,13473.3
4/9/18,33.5,636.9,14229.8,13521.9
4/10/18,33.6,641.5,14261.2,13542.4
4/11/18,33.5,639.8,14281.6,13559.6
4/12/18,33.5,641.3,14338.5,13583.7
4/13/18,33.5,642.5,14368.6,13613.7
4/14/18,33.5,642.5,14368.6,13613.7
4/15/18,33.5,642.5,14368.6,13613.7
